PERSONA;MARCA;ATRIBUTO;LUGAR COMPRA
ADOLESCENTE;Guarana;Es para combinar con licor;Cualquier lugar
ADOLESCENTE;Inca Kola;Quita la sed;Cualquier lugar
ADOLESCENTE;Inca Kola;Es para combinar con licor;Cualquier lugar
ADOLESCENTE;Inca Kola;Es una marca de calidad;Cualquier lugar
ADOLESCENTE;Coca Cola;Es para combinar con licor;Cualquier lugar
ADOLESCENTE;Guarana;Es natural;Cualquier lugar
ADOLESCENTE;Sprite;Quita la sed;Cualquier lugar
ADOLESCENTE;Sprite;Es natural;Cualquier lugar
ADOLESCENTE;Sprite;Tiene buen sabor;Cualquier lugar
ADOLESCENTE;Fanta;Es para combinar con licor;Cualquier lugar
ADOLESCENTE;Coca Cola;Tiene garantía;Cualquier lugar
ADOLESCENTE;Coca Cola;Es una marca de calidad;Cualquier lugar
ADOLESCENTE;Coca Cola;Es para combinar con licor;Cualquier lugar
ADOLESCENTE;Pepsi;Tiene buen sabor;Cualquier lugar
ADOLESCENTE;Guarana;Hace buenos descuentos;Cualquier lugar
ADOLESCENTE;Pepsi;Tiene buenos canjes;Cualquier lugar
ADOLESCENTE;Pepsi;Es para combinar con licor;Cualquier lugar
ADOLESCENTE;Guarana;Su publicidad es divertida;Delivery
ADOLESCENTE;Sprite;Es para combinar con licor;Delivery
ADOLESCENTE;Sprite;Es para combinar con licor;Delivery
ADOLESCENTE;Sprite;Quita la sed;Delivery
ADOLESCENTE;Sprite;Fácil de encontrar;Delivery
ADOLESCENTE;Coca Cola;Es una marca de calidad;Delivery
ADOLESCENTE;Guarana;Su publicidad es divertida;Delivery
ADOLESCENTE;Inca Kola;Es para combinar con licor;Delivery
ADOLESCENTE;Inca Kola;Su publicidad es divertida;Delivery
ADOLESCENTE;Inca Kola;Es natural;Delivery
ADOLESCENTE;Guarana;Su publicidad es divertida;Cualquier lugar
ADOLESCENTE;Pepsi;Fácil de encontrar;Cualquier lugar
ADOLESCENTE;Pepsi;Es natural;Cualquier lugar
ADOLESCENTE;Sprite;Es para combinar con licor;Cualquier lugar
ADOLESCENTE;Sprite;Es natural;Cualquier lugar
ADOLESCENTE;Fanta;Hace buenos descuentos;Cualquier lugar
ADOLESCENTE;Fanta;Es para combinar con licor;Cualquier lugar
ADOLESCENTE;Coca Cola;Tiene garantía;Cualquier lugar
ADOLESCENTE;Inca Kola;Es una marca de calidad;Cualquier lugar
ADOLESCENTE;Guarana;Fácil de encontrar;Cualquier lugar
ADOLESCENTE;Inca Kola;Es para combinar con licor;Cualquier lugar
